,rating,account_id,deal_id,UnixTime,time
0,5.0,A33Q41P2BNTZ1Q,0005419263,1515196800,2018-01-06
1,5.0,A33Q41P2BNTZ1Q,B0000524ES,1515196800,2018-01-06
2,5.0,A33Q41P2BNTZ1Q,B000A6T1J0,1515196800,2018-01-06
3,5.0,A33Q41P2BNTZ1Q,B00AMU8K8C,1515196800,2018-01-06
4,5.0,A131408USYVUN5,0005019281,1517270400,2018-01-30
5,5.0,A131408USYVUN5,B00005JLOT,1517270400,2018-01-30
6,5.0,A131408USYVUN5,B000067DNC,1517270400,2018-01-30
7,5.0,A131408USYVUN5,B00015HVI8,1517270400,2018-01-30
8,5.0,A131408USYVUN5,B000FIHN52,1517270400,2018-01-30
9,5.0,A29HHWJB3JYPX7,0005019281,1514592000,2017-12-30
10,5.0,A29HHWJB3JYPX7,B003UESJHE,1514592000,2017-12-30
11,5.0,A29HHWJB3JYPX7,B00DV7MEMQ,1514592000,2017-12-30
12,5.0,AZPHVD6XM61V,0005019281,1513814400,2017-12-21
13,5.0,AZPHVD6XM61V,630356027X,1525305600,2018-05-03
14,5.0,AZPHVD6XM61V,6304359659,1513900800,2017-12-22
15,5.0,AZPHVD6XM61V,B00000F5OT,1518652800,2018-02-15
16,5.0,AZPHVD6XM61V,B00C888MJ8,1519689600,2018-02-27
17,5.0,AZPHVD6XM61V,B00S1ITA2W,1525305600,2018-05-03
18,5.0,A21A5AK06GGXRT,0005019281,1507507200,2017-10-09
19,5.0,A21A5AK06GGXRT,B000UX6TJI,1507507200,2017-10-09
20,5.0,A21A5AK06GGXRT,B008H6GHG0,1507507200,2017-10-09
21,5.0,A21A5AK06GGXRT,B008H6GHEM,1507507200,2017-10-09
22,5.0,A2TVNV8HSMJ96F,0005019281,1517356800,2018-01-31
23,5.0,A2TVNV8HSMJ96F,6304400810,1505520000,2017-09-16
24,5.0,A2TVNV8HSMJ96F,6305428158,1505520000,2017-09-16
25,5.0,A2TVNV8HSMJ96F,B001KRCDSY,1505520000,2017-09-16
26,5.0,A2TVNV8HSMJ96F,B003R0MF3K,1510790400,2017-11-16
27,5.0,A2TVNV8HSMJ96F,B00B52F278,1505520000,2017-09-16
